DANH SACH LOP: 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MaLop	SiSo	MaGVCN	MaPhong	SoBan	SoGhe
12A		44		1		1		10		24
12B		44		2		2		10		24
12C		33		3		3		1		23
11A		44		4		4		10		24
11B		44		5		5		10		24
11C		33		6		6		1		23
10A		44		7		7		10		24
10B		44		8		8		10		24
10C		33		9		9		1		23
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
